Company,n_escape,production (t),n_salmon_produced,escape_rate
AquaChile,0,138000,34500000,"0,00%"
Australis Seafood,0,75000,18750000,"0,00%"
Bakkafrost,607355,91000,22750000,"2,67%"
Blumar,96043,53000,13250000,"0,72%"
Camanchaca,134363,45000,11250000,"1,19%"
Cermaq,113167,171000,42750000,"0,26%"
Grieg Seafood,33946,88000,22000000,"0,15%"
Leroy,10956,152000,38000000,"0,03%"
MOWI,1069079,472000,118000000,"0,91%"
Multiexport,0,77000,19250000,"0,00%"
Nova Sea,26,58000,14500000,"0,00%"
SalMar,1977137,194000,48500000,"4,08%"
Salmones Austral,0,35000,8750000,"0,00%"