,Year,Tonnes - live weight,Country,alpha-3
0,1950,0.0,United Kingdom,GBR
1,1950,0.0,Sweden,SWE
2,1950,0.0,Norway,NOR
3,1950,0.0,"Korea, Dem. People's Rep",PRK
4,1950,0.0,Ireland,IRL
5,1950,0.0,Finland,FIN
6,1950,0.0,Canada,CAN
7,1951,0.0,United Kingdom,GBR
8,1951,0.0,Sweden,SWE
9,1951,0.0,Norway,NOR
10,1951,0.0,"Korea, Dem. People's Rep",PRK
11,1951,0.0,Ireland,IRL
12,1951,0.0,Finland,FIN
13,1951,0.0,Canada,CAN
14,1952,0.0,United Kingdom,GBR
15,1952,0.0,Sweden,SWE
16,1952,0.0,Norway,NOR
17,1952,0.0,"Korea, Dem. People's Rep",PRK
18,1952,0.0,Ireland,IRL
19,1952,0.0,Finland,FIN
20,1952,0.0,Canada,CAN
21,1953,0.0,United Kingdom,GBR
22,1953,0.0,Sweden,SWE
23,1953,0.0,Norway,NOR
24,1953,0.0,"Korea, Dem. People's Rep",PRK
25,1953,0.0,Ireland,IRL
26,1953,0.0,Finland,FIN
27,1953,0.0,Canada,CAN
28,1954,0.0,United Kingdom,GBR
29,1954,0.0,Sweden,SWE
30,1954,0.0,Norway,NOR
31,1954,0.0,"Korea, Dem. People's Rep",PRK
32,1954,0.0,Ireland,IRL
33,1954,0.0,Finland,FIN
34,1954,0.0,Canada,CAN
35,1955,0.0,United Kingdom,GBR
36,1955,0.0,Sweden,SWE
37,1955,0.0,Norway,NOR
38,1955,0.0,"Korea, Dem. People's Rep",PRK
39,1955,0.0,Ireland,IRL
40,1955,0.0,Finland,FIN
41,1955,0.0,Canada,CAN
42,1956,0.0,United Kingdom,GBR
43,1956,0.0,Sweden,SWE
44,1956,0.0,Norway,NOR
45,1956,0.0,"Korea, Dem. People's Rep",PRK
46,1956,0.0,Ireland,IRL
47,1956,0.0,Finland,FIN
48,1956,0.0,Canada,CAN
49,1957,0.0,United Kingdom,GBR
50,1957,0.0,Sweden,SWE
51,1957,0.0,Norway,NOR
52,1957,0.0,"Korea, Dem. People's Rep",PRK
53,1957,0.0,Ireland,IRL
54,1957,0.0,Finland,FIN
55,1957,0.0,Canada,CAN
56,1958,0.0,United Kingdom,GBR
57,1958,0.0,Sweden,SWE
58,1958,0.0,Norway,NOR
59,1958,0.0,"Korea, Dem. People's Rep",PRK
60,1958,0.0,Ireland,IRL
61,1958,0.0,Finland,FIN
62,1958,0.0,Canada,CAN
63,1959,0.0,United Kingdom,GBR
64,1959,0.0,Sweden,SWE
65,1959,0.0,Norway,NOR
66,1959,0.0,"Korea, Dem. People's Rep",PRK
67,1959,0.0,Ireland,IRL
68,1959,0.0,Finland,FIN
69,1959,0.0,Canada,CAN
70,1960,0.0,United Kingdom,GBR
71,1960,0.0,Sweden,SWE
72,1960,0.0,Norway,NOR
73,1960,0.0,"Korea, Dem. People's Rep",PRK
74,1960,0.0,Ireland,IRL
75,1960,0.0,Finland,FIN
76,1960,0.0,Canada,CAN
77,1961,0.0,United Kingdom,GBR
78,1961,0.0,Sweden,SWE
79,1961,0.0,Norway,NOR
80,1961,0.0,"Korea, Dem. People's Rep",PRK
81,1961,0.0,Ireland,IRL
82,1961,0.0,Finland,FIN
83,1961,0.0,Canada,CAN
84,1962,0.0,United Kingdom,GBR
85,1962,0.0,Sweden,SWE
86,1962,0.0,Norway,NOR
87,1962,0.0,"Korea, Dem. People's Rep",PRK
88,1962,0.0,Ireland,IRL
89,1962,0.0,Finland,FIN
90,1962,0.0,Canada,CAN
91,1963,0.0,United Kingdom,GBR
92,1963,0.0,Sweden,SWE
93,1963,0.0,Norway,NOR
94,1963,0.0,"Korea, Dem. People's Rep",PRK
95,1963,0.0,Ireland,IRL
96,1963,0.0,Finland,FIN
97,1963,0.0,Canada,CAN
98,1964,0.0,United Kingdom,GBR
99,1964,0.0,Sweden,SWE
100,1964,1.0,Norway,NOR
101,1964,0.0,"Korea, Dem. People's Rep",PRK
102,1964,0.0,Ireland,IRL
103,1964,0.0,Finland,FIN
104,1964,0.0,Canada,CAN
105,1965,0.0,United Kingdom,GBR
106,1965,0.0,Sweden,SWE
107,1965,2.0,Norway,NOR
108,1965,0.0,"Korea, Dem. People's Rep",PRK
109,1965,0.0,Ireland,IRL
110,1965,0.0,Finland,FIN
111,1965,0.0,Canada,CAN
112,1966,0.0,United Kingdom,GBR
113,1966,0.0,Sweden,SWE
114,1966,4.0,Norway,NOR
115,1966,0.0,"Korea, Dem. People's Rep",PRK
116,1966,0.0,Ireland,IRL
117,1966,0.0,Finland,FIN
118,1966,0.0,Canada,CAN
119,1967,0.0,United Kingdom,GBR
120,1967,0.0,Sweden,SWE
121,1967,8.0,Norway,NOR
122,1967,0.0,"Korea, Dem. People's Rep",PRK
123,1967,0.0,Ireland,IRL
124,1967,0.0,Finland,FIN
125,1967,0.0,Canada,CAN
126,1968,0.0,United Kingdom,GBR
127,1968,0.0,Sweden,SWE
128,1968,15.0,Norway,NOR
129,1968,0.0,"Korea, Dem. People's Rep",PRK
130,1968,0.0,Ireland,IRL
131,1968,0.0,Finland,FIN
132,1968,0.0,Canada,CAN
133,1969,0.0,United Kingdom,GBR
134,1969,0.0,Sweden,SWE
135,1969,27.0,Norway,NOR
136,1969,0.0,"Korea, Dem. People's Rep",PRK
137,1969,0.0,Ireland,IRL
138,1969,0.0,Finland,FIN
139,1969,0.0,Canada,CAN
140,1970,244.0,United Kingdom,GBR
141,1970,0.0,Sweden,SWE
142,1970,50.0,Norway,NOR
143,1970,0.0,"Korea, Dem. People's Rep",PRK
144,1970,0.0,Ireland,IRL
145,1970,0.0,Iceland,ISL
146,1970,0.0,Finland,FIN
147,1970,0.0,Chile,CHL
148,1970,0.0,Canada,CAN
149,1971,216.0,United Kingdom,GBR
150,1971,0.0,Sweden,SWE
151,1971,98.0,Norway,NOR
152,1971,0.0,"Korea, Dem. People's Rep",PRK
153,1971,0.0,Ireland,IRL
154,1971,0.0,Iceland,ISL
155,1971,0.0,Finland,FIN
156,1971,0.0,Chile,CHL
157,1971,0.0,Canada,CAN
158,1972,213.0,United Kingdom,GBR
159,1972,0.0,Sweden,SWE
160,1972,146.0,Norway,NOR
161,1972,0.0,"Korea, Dem. People's Rep",PRK
162,1972,0.0,Ireland,IRL
163,1972,0.0,Iceland,ISL
164,1972,0.0,Finland,FIN
165,1972,0.0,Chile,CHL
166,1972,0.0,Canada,CAN
167,1973,401.0,United Kingdom,GBR
168,1973,0.0,Sweden,SWE
169,1973,171.0,Norway,NOR
170,1973,0.0,"Korea, Dem. People's Rep",PRK
171,1973,0.0,Ireland,IRL
172,1973,0.0,Iceland,ISL
173,1973,0.0,Finland,FIN
174,1973,0.0,Chile,CHL
175,1973,0.0,Canada,CAN
176,1974,372.0,United Kingdom,GBR
177,1974,0.0,Sweden,SWE
178,1974,601.0,Norway,NOR
179,1974,0.0,"Korea, Dem. People's Rep",PRK
180,1974,1.0,Ireland,IRL
181,1974,0.0,Iceland,ISL
182,1974,0.0,Finland,FIN
183,1974,0.0,Chile,CHL
184,1974,0.0,Canada,CAN
185,1975,393.0,United Kingdom,GBR
186,1975,0.0,Sweden,SWE
187,1975,862.0,Norway,NOR
188,1975,0.0,"Korea, Dem. People's Rep",PRK
189,1975,2.0,Ireland,IRL
190,1975,1.0,Iceland,ISL
191,1975,0.0,Finland,FIN
192,1975,0.0,Chile,CHL
193,1975,0.0,Canada,CAN
194,1976,209.0,United Kingdom,GBR
195,1976,0.0,Sweden,SWE
196,1976,1431.0,Norway,NOR
197,1976,0.0,"Korea, Dem. People's Rep",PRK
198,1976,5.0,Ireland,IRL
199,1976,5.0,Iceland,ISL
200,1976,0.0,Finland,FIN
201,1976,1.0,Faroe Islands,FRO
202,1976,0.0,Chile,CHL
203,1976,0.0,Canada,CAN
204,1977,115.0,United Kingdom,GBR
205,1977,5.0,Sweden,SWE
206,1977,2137.0,Norway,NOR
207,1977,0.0,"Korea, Dem. People's Rep",PRK
208,1977,10.0,Ireland,IRL
209,1977,8.0,Iceland,ISL
210,1977,0.0,Finland,FIN
211,1977,2.0,Faroe Islands,FRO
212,1977,0.0,Chile,CHL
213,1977,0.0,Canada,CAN
214,1978,378.0,United Kingdom,GBR
215,1978,10.0,Sweden,SWE
216,1978,3540.0,Norway,NOR
217,1978,0.0,"Korea, Dem. People's Rep",PRK
218,1978,10.0,Ireland,IRL
219,1978,13.0,Iceland,ISL
220,1978,0.0,Finland,FIN
221,1978,5.0,Faroe Islands,FRO
222,1978,0.0,Chile,CHL
223,1978,0.0,Canada,CAN
224,1979,520.0,United Kingdom,GBR
225,1979,15.0,Sweden,SWE
226,1979,4389.0,Norway,NOR
227,1979,0.0,"Korea, Dem. People's Rep",PRK
228,1979,13.0,Ireland,IRL
229,1979,19.0,Iceland,ISL
230,1979,0.0,Finland,FIN
231,1979,0.0,Chile,CHL
232,1979,5.0,Canada,CAN
233,1980,598.0,United Kingdom,GBR
234,1980,30.0,Sweden,SWE
235,1980,4312.0,Norway,NOR
236,1980,0.0,"Korea, Dem. People's Rep",PRK
237,1980,21.0,Ireland,IRL
238,1980,27.0,Iceland,ISL
239,1980,251.0,Finland,FIN
240,1980,22.0,Faroe Islands,FRO
241,1980,0.0,Chile,CHL
242,1980,27.0,Canada,CAN
243,1981,1133.0,United Kingdom,GBR
244,1981,0.0,Türkiye,
245,1981,50.0,Sweden,SWE
246,1981,8418.0,Norway,NOR
247,1981,0.0,"Korea, Dem. People's Rep",PRK
248,1981,35.0,Ireland,IRL
249,1981,39.0,Iceland,ISL
250,1981,312.0,Finland,FIN
251,1981,45.0,Faroe Islands,FRO
252,1981,0.0,Chile,CHL
253,1981,76.0,Canada,CAN
254,1982,2152.0,United Kingdom,GBR
255,1982,0.0,Türkiye,
256,1982,50.0,Sweden,SWE
257,1982,10695.0,Norway,NOR
258,1982,0.0,"Korea, Dem. People's Rep",PRK
259,1982,100.0,Ireland,IRL
260,1982,56.0,Iceland,ISL
261,1982,9.0,Finland,FIN
262,1982,60.0,Faroe Islands,FRO
263,1982,0.0,Chile,CHL
264,1982,143.0,Canada,CAN
265,1983,2536.0,United Kingdom,GBR
266,1983,0.0,Türkiye,
267,1983,75.0,Sweden,SWE
268,1983,17298.0,Norway,NOR
269,1983,0.0,"Korea, Dem. People's Rep",PRK
270,1983,257.0,Ireland,IRL
271,1983,79.0,Iceland,ISL
272,1983,235.0,Finland,FIN
273,1983,90.0,Faroe Islands,FRO
274,1983,0.0,Chile,CHL
275,1983,68.0,Canada,CAN
276,1984,3912.0,United Kingdom,GBR
277,1984,0.0,Türkiye,
278,1984,118.0,Sweden,SWE
279,1984,150.0,Spain,ESP
280,1984,21881.0,Norway,NOR
281,1984,0.0,"Korea, Dem. People's Rep",PRK
282,1984,385.0,Ireland,IRL
283,1984,107.0,Iceland,ISL
284,1984,93.0,Finland,FIN
285,1984,117.0,Faroe Islands,FRO
286,1984,0.0,Chile,CHL
287,1984,222.0,Canada,CAN
288,1985,6921.0,United Kingdom,GBR
289,1985,0.0,Türkiye,
290,1985,81.0,Sweden,SWE
291,1985,150.0,Spain,ESP
292,1985,29473.0,Norway,NOR
293,1985,0.0,"Korea, Dem. People's Rep",PRK
294,1985,700.0,Ireland,IRL
295,1985,91.0,Iceland,ISL
296,1985,92.0,Finland,FIN
297,1985,940.0,Faroe Islands,FRO
298,1985,0.0,Chile,CHL
299,1985,349.0,Canada,CAN
300,1986,8.0,United States of America,USA
301,1986,10337.0,United Kingdom,GBR
302,1986,0.0,Türkiye,
303,1986,160.0,Sweden,SWE
304,1986,150.0,Spain,ESP
305,1986,44831.0,Norway,NOR
306,1986,0.0,"Korea, Dem. People's Rep",PRK
307,1986,1215.0,Ireland,IRL
308,1986,123.0,Iceland,ISL
309,1986,93.0,Finland,FIN
310,1986,1370.0,Faroe Islands,FRO
311,1986,0.0,Chile,CHL
312,1986,682.0,Canada,CAN
313,1986,10.0,Australia,AUS
314,1987,113.0,United States of America,USA
315,1987,12721.0,United Kingdom,GBR
316,1987,0.0,Türkiye,
317,1987,224.0,Sweden,SWE
318,1987,150.0,Spain,ESP
319,1987,46453.0,Norway,NOR
320,1987,0.0,"Korea, Dem. People's Rep",PRK
321,1987,2300.0,Ireland,IRL
322,1987,490.0,Iceland,ISL
323,1987,3.0,Greece,GRC
324,1987,11.0,Finland,FIN
325,1987,3193.0,Faroe Islands,FRO
326,1987,41.0,Chile,CHL
327,1987,1385.0,Canada,CAN
328,1987,62.0,Australia,AUS
329,1988,898.0,United States of America,USA
330,1988,17951.0,United Kingdom,GBR
331,1988,0.0,Türkiye,
332,1988,363.0,Sweden,SWE
333,1988,150.0,Spain,ESP
334,1988,0.0,Portugal,PRT
335,1988,78744.0,Norway,NOR
336,1988,0.0,"Korea, Dem. People's Rep",PRK
337,1988,4075.0,Ireland,IRL
338,1988,1053.0,Iceland,ISL
339,1988,11.0,Greece,GRC
340,1988,117.0,Finland,FIN
341,1988,3400.0,Faroe Islands,FRO
342,1988,165.0,Chile,CHL
343,1988,3431.0,Canada,CAN
344,1988,240.0,Australia,AUS
345,1989,2554.0,United States of America,USA
346,1989,28603.0,United Kingdom,GBR
347,1989,0.0,Türkiye,
348,1989,771.0,Sweden,SWE
349,1989,150.0,Spain,ESP
350,1989,100.0,Portugal,PRT
351,1989,111337.0,Norway,NOR
352,1989,0.0,"Korea, Dem. People's Rep",PRK
353,1989,5500.0,Ireland,IRL
354,1989,1480.0,Iceland,ISL
355,1989,19.0,Greece,GRC
356,1989,71.0,Finland,FIN
357,1989,7901.0,Faroe Islands,FRO
358,1989,1860.0,Chile,CHL
359,1989,5967.0,Canada,CAN
360,1989,1750.0,Australia,AUS
361,1990,3185.0,United States of America,USA
362,1990,32004.0,United Kingdom,GBR
363,1990,300.0,Türkiye,
364,1990,602.0,Sweden,SWE
365,1990,355.0,Spain,ESP
366,1990,120.0,Portugal,PRT
367,1990,145990.0,Norway,NOR
368,1990,0.0,"Korea, Dem. People's Rep",PRK
369,1990,6323.0,Ireland,IRL
370,1990,2716.0,Iceland,ISL
371,1990,12.0,Greece,GRC
372,1990,157.0,Finland,FIN
373,1990,13025.0,Faroe Islands,FRO
374,1990,9478.0,Chile,CHL
375,1990,9625.0,Canada,CAN
376,1990,1750.0,Australia,AUS
377,1991,6661.0,United States of America,USA
378,1991,40657.0,United Kingdom,GBR
379,1991,1500.0,Türkiye,
380,1991,270.0,Sweden,SWE
381,1991,553.0,Spain,ESP
382,1991,100.0,Portugal,PRT
383,1991,154900.0,Norway,NOR
384,1991,0.0,"Korea, Dem. People's Rep",PRK
385,1991,9300.0,Ireland,IRL
386,1991,2566.0,Iceland,ISL
387,1991,33.0,Greece,GRC
388,1991,574.0,France,FRA
389,1991,146.0,Finland,FIN
390,1991,17914.0,Faroe Islands,FRO
391,1991,14957.0,Chile,CHL
392,1991,13499.0,Canada,CAN
393,1991,2653.0,Australia,AUS
394,1992,10028.0,United States of America,USA
395,1992,36302.0,United Kingdom,GBR
396,1992,680.0,Türkiye,
397,1992,388.0,Sweden,SWE
398,1992,782.0,Spain,ESP
399,1992,0.0,Russian Federation,RUS
400,1992,0.0,Portugal,PRT
401,1992,124138.0,Norway,NOR
402,1992,0.0,"Korea, Dem. People's Rep",PRK
403,1992,9696.0,Ireland,IRL
404,1992,2125.0,Iceland,ISL
405,1992,20.0,Greece,GRC
406,1992,600.0,France,FRA
407,1992,85.0,Finland,FIN
408,1992,18364.0,Faroe Islands,FRO
409,1992,23715.0,Chile,CHL
410,1992,17305.0,Canada,CAN
411,1992,3300.0,Australia,AUS
412,1993,10750.0,United States of America,USA
413,1993,48791.0,United Kingdom,GBR
414,1993,791.0,Türkiye,
415,1993,4.0,Sweden,SWE
416,1993,562.0,Spain,ESP
417,1993,0.0,Russian Federation,RUS
418,1993,0.0,Portugal,PRT
419,1993,155581.0,Norway,NOR
420,1993,0.0,"Korea, Dem. People's Rep",PRK
421,1993,12366.0,Ireland,IRL
422,1993,2348.0,Iceland,ISL
423,1993,30.0,Greece,GRC
424,1993,564.0,France,FRA
425,1993,0.0,Finland,FIN
426,1993,17660.0,Faroe Islands,FRO
427,1993,29180.0,Chile,CHL
428,1993,23483.0,Canada,CAN
429,1993,3500.0,Australia,AUS
430,1994,10906.0,United States of America,USA
431,1994,64266.0,United Kingdom,GBR
432,1994,434.0,Türkiye,
433,1994,7.0,Sweden,SWE
434,1994,909.0,Spain,ESP
435,1994,0.0,Russian Federation,RUS
436,1994,0.0,Portugal,PRT
437,1994,202459.0,Norway,NOR
438,1994,0.0,"Korea, Dem. People's Rep",PRK
439,1994,11616.0,Ireland,IRL
440,1994,2588.0,Iceland,ISL
441,1994,74.0,Greece,GRC
442,1994,856.0,France,FRA
443,1994,0.0,Finland,FIN
444,1994,14868.0,Faroe Islands,FRO
445,1994,34175.0,Chile,CHL
446,1994,27773.0,Canada,CAN
447,1994,4000.0,Australia,AUS
448,1995,14075.0,United States of America,USA
449,1995,70322.0,United Kingdom,GBR
450,1995,654.0,Türkiye,
451,1995,19.0,Sweden,SWE
452,1995,695.0,Spain,ESP
453,1995,0.0,Russian Federation,RUS
454,1995,0.0,Portugal,PRT
455,1995,261522.0,Norway,NOR
456,1995,0.0,"Korea, Dem. People's Rep",PRK
457,1995,11811.0,Ireland,IRL
458,1995,2591.0,Iceland,ISL
459,1995,7.0,Greece,GRC
460,1995,894.0,France,FRA
461,1995,0.0,Finland,FIN
462,1995,8539.0,Faroe Islands,FRO
463,1995,54250.0,Chile,CHL
464,1995,33674.0,Canada,CAN
465,1995,6192.0,Australia,AUS
