Company,Flag,Country,"Volume, in tons, 2022",Commercial name,Creation date,Headquarters,Website,Revenues 2022,Employees 2022,Note
Cooke,ðŸ‡¨ðŸ‡¦,Canada,86000,Cooke Inc. / Cooke Aquaculture,1985,"New Brunswick, Canada",https://cookeseafood.com/,~4000000000,~13000,No public information or report found
Aquachile,ðŸ‡¨ðŸ‡±,Chile,138000,Empresas Aquachile SA,1998,"Puerto Montt, Chile",http://www.aquachile.com/,1420552446,5827,
Multi X,ðŸ‡¨ðŸ‡±,Chile,77000,Multiexport Foods SA,1983,"Puerto Montt, Chile",https://www.multi-xsalmon.com/en/,611580492,2586,
Australis Seafood,ðŸ‡¨ðŸ‡±,Chile,75000,Australis Seafood SA (Joyvio Food),2003,"Puerto Varas, Chile",https://www.australis-seafoods.com/en/,621235249,2539,
Bakkafrost,ðŸ‡«ðŸ‡´,Faroe Islands,91000,P/F Bakkafrost,1968,"Glyvar, Faroe Islands",https://www.bakkafrost.com/en,989040000,1778,
Cermaq,ðŸ‡¯ðŸ‡µ,Japan,171000,Cermaq Group AS (Mutsubishi Corporation),1995,"Oslo, NorvÃ¨ge",https://www.cermaq.com/,1380000000,2790,
Mowi,ðŸ‡³ðŸ‡´,Norway,472000,MOWI ASA,1964,"Bergen, Norway",https://mowi.com/,4940800000,11500,
Salmar,ðŸ‡³ðŸ‡´,Norway,194000,SalMar ASA,1991,"FrÃ¸ya, Norway",https://www.salmar.no/en,2001106552,2266,
LerÃ¸y Seafood,ðŸ‡³ðŸ‡´,Norway,152000,LerÃ¸y Seafood Group ASA,1899,"Bergen, Norway",https://www.leroyseafood.fr/,2781456517,5972,
Grieg Seafood,ðŸ‡³ðŸ‡´,Norway,88000,Grieg Seafood,1992,"Bergen, Norway",https://griegseafood.com/,747821304,718,