Company,Production Capacity in tons,Number of farms,Countries
Atlantic Sapphire,200000.0,1,United States
Pure Salmon,140000.0,7,"Saudi Arabia, United States, China, France, Japan, Lesotho, Brunei"
Norwegian Mountain Salmon,115000.0,2,"United Kingdom, Norway"
Maiken Foods,106000.0,2,Portugal
Quality Salmon,100000.0,1,Sweden
World Heritage Salmon,100000.0,1,Norway
Sande Aqua AS,66000.0,1,Norway
Salmon Evolution,60800.0,2,"United States, Norway"
West Coast Salmon,60000.0,1,United States
Norsal,60000.0,2,China